name,category,difficulty,key
Password Hash Leak,Sensitive Data Exposure,2,passwordHashLeakChallenge
API-only XSS,XSS,3,restfulXssChallenge
Access Log,Observability Failures,4,accessLogDisclosureChallenge
Admin Registration,Improper Input Validation,3,registerAdminChallenge
Admin Section,Broken Access Control,2,adminSectionChallenge
Arbitrary File Write,Vulnerable Components,6,fileWriteChallenge
Bjoern's Favorite Pet,Broken Authentication,3,resetPasswordBjoernOwaspChallenge
Blockchain Hype,Security through Obscurity,5,tokenSaleChallenge
NFT Takeover,Sensitive Data Exposure,2,nftUnlockChallenge
Mint the Honey Pot,Improper Input Validation,3,nftMintChallenge
Wallet Depletion,Miscellaneous,6,web3WalletChallenge
Web3 Sandbox,Broken Access Control,1,web3SandboxChallenge
Blocked RCE DoS,Insecure Deserialization,5,rceChallenge
CAPTCHA Bypass,Broken Anti Automation,3,captchaBypassChallenge
Change Bender's Password,Broken Authentication,5,changePasswordBenderChallenge
Christmas Special,Injection,4,christmasSpecialChallenge
CSP Bypass,XSS,4,usernameXssChallenge
Client-side XSS Protection,XSS,3,persistedXssUserChallenge
Confidential Document,Sensitive Data Exposure,1,directoryListingChallenge
DOM XSS,XSS,1,localXssChallenge
Database Schema,Injection,3,dbSchemaChallenge
Deprecated Interface,Security Misconfiguration,2,deprecatedInterfaceChallenge
Easter Egg,Broken Access Control,4,easterEggLevelOneChallenge
Email Leak,Sensitive Data Exposure,5,emailLeakChallenge
Empty User Registration,Improper Input Validation,2,emptyUserRegistration
Ephemeral Accountant,Injection,4,ephemeralAccountantChallenge
Error Handling,Security Misconfiguration,1,errorHandlingChallenge
Expired Coupon,Improper Input Validation,4,manipulateClockChallenge
Extra Language,Broken Anti Automation,5,extraLanguageChallenge
Five-Star Feedback,Broken Access Control,2,feedbackChallenge
Forged Coupon,Cryptographic Issues,6,forgedCouponChallenge
Forged Feedback,Broken Access Control,3,forgedFeedbackChallenge
Forged Review,Broken Access Control,3,forgedReviewChallenge
Forged Signed JWT,Vulnerable Components,6,jwtForgedChallenge
Forgotten Developer Backup,Sensitive Data Exposure,4,forgottenDevBackupChallenge
Forgotten Sales Backup,Sensitive Data Exposure,4,forgottenBackupChallenge
Frontend Typosquatting,Vulnerable Components,5,typosquattingAngularChallenge
GDPR Data Erasure,Broken Authentication,3,ghostLoginChallenge
